trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,0.047612392,0.0005904,167.4658874,167.4658874,167.7655075,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,0.047612392,0.0006045,169.9302492,169.9302492,170.2297482,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,0.047612392,0.0005788,172.2778728,172.2778728,,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,0.047584992,0.0006092,174.5589778,174.5589778,174.8583519,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,0.047584992,0.0005939,177.1730862,177.1730862,177.4727281,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,0.047584992,0.000595,179.5372722,179.5372722,179.8368648,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,0.047557608,0.0005857,182.018366,182.018366,182.3178551,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,0.047557608,0.0005942,184.4658226,184.4658226,184.7653638,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,0.047557608,0.0005899,186.9967816,186.9967816,187.2962042,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,0.04753024,0.0006018,189.5109376,189.5109376,189.8105878,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,0.04753024,0.0006014,191.8420386,191.8420386,192.1414883,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,0.04753024,0.0006031,194.256201,194.256201,194.5557357,0,0,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
